AI (verbosity: default, color: 00000000)
Ability Prediction (verbosity: default, color: B200FFFF)
Accolades (verbosity: default, color: 00000000)
AnimResource (verbosity: default, color: 00000000)
Animation 2 (verbosity: default, color: 00000000)
AnimationGraph (verbosity: default, color: E1F20DFF)
AnimationSystem (verbosity: default, color: 00000000)
AnimationSystem: IK (verbosity: default, color: 00000000)
Animgraph (verbosity: off, console only, color: 00000000)
Assert (verbosity: default, color: 00000000)
AssetThumbnail (verbosity: default, color: 00000000)
AudioLimiter (verbosity: default, color: 03FCB6FF)
AudioManager (verbosity: default, color: 03FCB6FF)
AudioUtil (verbosity: default, color: 03FCB6FF)
BitBuf Error (verbosity: default, color: FF09ABFF)
BodyGameSystem (verbosity: default, color: 00000000)
BoneSetup (verbosity: default, color: 00000000)
Breakables (verbosity: default, color: 00000000)
Bug Reporter (verbosity: default, color: 00FFFFFF)
BuildCubemaps (verbosity: default, color: FF6400FF)
BuildSparseShadowTree (verbosity: default, color: FF6400FF)
CITADEL Account Stats (verbosity: default, color: 8F8FBCFF)
CITADEL Match Signout (verbosity: default, color: 8F8FBCFF)
CITADEL SteamLearn (verbosity: default, color: 00000000)
CL CommandQueue (verbosity: default, color: 68FFC8FF)
CharacterDecalRenderer (verbosity: default, color: 00000000)
Citadel Client Networking (verbosity: default, color: 00000000)
Citadel Play Controller (verbosity: default, color: 55FAB4FF)
CitadelAudioRelevance (verbosity: default, color: 33FFB6FF)
CitadelDialogManager (verbosity: default, color: F57E42FF)
CitadelMusicData (verbosity: default, color: FF9900FF)
CitadelParticipantAudio (verbosity: default, color: 3498EBFF)
CitadelTVCamera (verbosity: essential, color: 6666FFFF)
CitadelTVDirector (verbosity: essential, color: CC66FFFF)
Client (verbosity: default, color: B4FF00FF)
ClientMessages (verbosity: default, color: 49D5E4FF)
Command Queue Events (verbosity: default, color: FF7DCDFF)
Command Queue SAMPLES (verbosity: default, color: FF7DCDFF)
CommandLine (verbosity: default, color: C5BDA9FF)
Console (verbosity: default, console only, color: 00000000, tags: Console)
D3D (verbosity: default, color: 00000000)
Decals (verbosity: default, color: 80FF80FF)
DeformableSurfaceBuilderSystem (verbosity: default, color: 00000000, tags: DeformableSurfaceBuilder)
Demo (verbosity: default, color: FB5580FF)
DemoFile (verbosity: default, color: FB5564FF)
Destructible Parts (verbosity: default, color: 00000000)
Developer (verbosity: essential, console only, color: 00000000, tags: Developer)
DeveloperConsole (verbosity: essential, console only, color: 00000000, tags: Console, DeveloperVerbose)
DeveloperVerbose (verbosity: essential, console only, color: C080C0FF, tags: DeveloperVerbose)
DotaHeroListCompiler (verbosity: default, color: 00000000)
DotaItemCompiler (verbosity: default, color: 00000000)
DotaItemSetCompiler (verbosity: default, color: 00000000)
DotaPatchNotesCompiler (verbosity: default, color: 00000000)
DotaVisualNovelsCompiler (verbosity: default, color: 00000000)
DualHull (verbosity: default, color: 80FF80FF)
Elapsed (verbosity: default, color: F4AAF1FF)
EmitSound (verbosity: default, color: C8A7F5FF)
